athleteID,age,sex,height,weight
1382,35,M,,
1383,21,M,,84
1384,40,M,,
1385,22,M,,74
1386,18,M,,
1387,24,M,,
1388,,M,,
1389,23,M,183,70
1390,23,M,183,70
1391,27,M,,
1392,,M,,
1393,45,M,,
1394,21,M,,
1395,25,M,,
1396,23,M,,
1397,20,M,174,65
1398,20,M,174,65
1399,31,M,,78
1400,29,M,170,59
1401,27,M,,
1402,21,M,,
1403,25,M,173,64
1404,26,M,,
1405,,M,,
1406,29,M,,
1407,37,M,,
1408,,M,,
1409,35,M,,
1410,30,M,,
1411,42,M,,
1412,36,F,,
1413,40,M,,
1414,35,M,,
1415,23,M,161,60
1416,19,M,,
1417,22,M,177,106
1418,25,M,,
1419,29,M,,
1420,25,M,,
1421,37,M,,
1422,23,M,,
1423,26,M,,
1424,23,M,,
1425,24,M,172,69
1426,48,M,,
1427,,M,,78
1428,,M,,
1429,24,M,,
1430,,M,,
1431,24,F,,
1432,24,M,,
1433,40,M,,
1434,34,M,,
1435,23,M,169,58
1436,24,M,180,69
1437,24,M,180,69
1438,,M,,
1439,,M,,
1440,,M,,
1441,31,M,,79
1442,32,M,,
1443,,M,,
1444,30,M,,
1445,30,M,,
1446,34,M,185,79
1447,34,M,185,79
1448,19,M,,73
1449,18,M,,
1450,22,M,,77
1451,22,M,,77
1452,,M,,
1453,43,M,,
1454,29,M,,
1455,29,M,,
1456,22,M,,69
1457,40,M,178,95
1458,26,M,,
1459,,M,,
1460,19,M,,
1461,27,M,,
1462,26,M,184,74
1463,25,M,,
1464,19,M,,
1465,23,M,179,76
1466,17,M,,
1467,33,M,,
1468,30,M,,
1469,32,M,,
1470,32,M,,
1471,24,M,,
1472,25,M,,
1473,25,M,,
1474,20,M,,
1475,23,M,166,
1476,21,M,,80
1477,21,M,,80
1478,34,M,,
1479,,M,,
1480,22,M,185,89
1481,22,M,185,89
1482,24,M,,
1483,20,M,186,84
1484,24,M,170,68
1485,22,M,,80
1486,24,M,175,66
1487,21,M,,73
1488,29,M,,
1489,22,M,,78
1490,,M,,99
1491,24,M,,
1492,38,M,,
1493,38,M,,
1494,40,M,,
1495,40,M,,
1496,49,M,,
1497,49,M,,
1498,21,M,,
1499,27,M,,
1500,19,M,,
1501,24,M,,
1502,22,M,,
1503,24,M,,
1504,20,M,,
1505,27,M,,
1506,29,M,,
1507,28,F,,
1508,25,F,,
1509,24,M,,
1510,25,M,,89
1511,31,M,,
1512,24,M,,
1513,41,M,,
1514,17,M,,
1515,32,M,178,83
1516,37,M,,
1517,24,M,,
1518,46,M,,
1519,44,M,,
1520,21,M,175,60
1521,21,M,175,60
1522,20,M,172,80
1523,20,M,172,80
1524,25,M,,
1525,29,M,,
1526,25,M,,
1527,24,M,176,70
1528,27,M,,
1529,23,M,,
1530,24,M,,
1531,23,M,,
1532,23,M,,
1533,26,M,,
1534,27,M,,
1535,21,M,171,67
1536,29,M,,
1537,27,M,,
1538,21,M,,
1539,22,M,162,55
1540,,M,,
1541,16,M,180,
1542,30,M,,
1543,24,M,,
1544,31,M,,
1545,31,M,,
1546,22,M,,
1547,43,M,,
1548,21,M,173,
1549,40,F,,
1550,26,M,180,66
1551,44,M,,
1552,36,M,,95
1553,20,M,175,64
1554,23,M,,82
1555,33,M,,
1556,25,M,,
1557,,M,178,71
1558,21,M,,
1559,24,M,,
1560,25,M,,
1561,28,M,,
1562,27,M,,
1563,26,M,,
1564,29,M,,
1565,36,M,178,106
1566,27,M,183,93
1567,27,M,183,93
1568,23,F,,
1569,,M,,
1570,42,M,,
1571,29,M,,
1572,29,M,,
1573,30,M,,100
1574,39,M,,
1575,24,M,,
1576,,M,,
1577,31,M,,
1578,33,M,,
1579,23,M,,
1580,28,M,,93
1581,22,M,167,59
1582,,M,,
1583,24,M,,
1584,26,M,,68
1585,,M,,
1586,29,M,,
1587,22,M,178,64
1588,22,M,,
1589,26,M,,
1590,27,M,,
1591,38,M,182,95
1592,51,M,,
1593,25,M,,85
1594,28,M,,
1595,22,M,,74
1596,20,M,,
1597,24,M,,
1598,34,M,170,76
1599,25,M,,
1600,20,M,,
1601,,M,,
1602,32,M,168,
1603,21,F,,
1604,21,M,163,70
1605,24,M,,
1606,22,M,,
1607,18,M,,
1608,18,M,,
1609,25,M,,81
1610,26,M,,
1611,26,M,,
1612,26,M,,
1613,,M,,
1614,,M,,
1615,41,M,,
1616,28,M,,
1617,,M,,
1618,18,M,,
1619,18,M,,
1620,,M,,
1621,24,M,176,66
1622,26,M,,77
1623,26,M,,
1624,,M,,
1625,27,M,,
1626,25,M,171,66
1627,25,M,171,66
1628,51,M,,
1629,29,M,184,76
